# key:
# co = coast
# de = desert
# fo = forest
# gr = grassland
# fw = freshwater
# sm = swamp, marsh
# mo = mountain
# oc = ocean
# ur = urban
#
# SW = Southwest 
# SE = Southeast
# NW = Northeast
# SW = Southwest
# NA = Not Available
#
# Name       Alpha code     Habitats     Regions
Pine Flycatcher  PINF  no  NA
Pacific-slope Flycatcher  PSFL  fo mo  NW SW
Cordilleran Flycatcher  COFL  fo  NW SW
Yellowish Flycatcher  YEFL  no  NA
Buff-breasted Flycatcher  BBFL  fo  NA
Black-capped Flycatcher  BCAF  no  NA
Black Phoebe  BLPH  gr fw ur  SW
Eastern Phoebe  EAPH  fo gr fw sm ur  NE SE
Say's Phoebe  SAPH  gr  NW SW
Vermilion Flycatcher  VEFL  fo  SW SE
Pied Water-Tyrant  PIWT  no  NA
Long-tailed Tyrant  LTTY  no  NA
Cattle Tyrant  CATY  no  NA
Bright-rumped Attila  BRAT  no  NA
Sirystes  SIRY  no  NA
Rufous Mourner  RMOU  no  NA
Yucatan Flycatcher  YUFL  no  NA
Sad Flycatcher  SAFL  no  NA
Dusky-capped Flycatcher  DCFL  fo mo  NA
Panama Flycatcher  PAFL  no  NA
Ash-throated Flycatcher  ATFL  de fo  NW SW
Nutting's Flycatcher  NUFL  fo gr  NA
Great Crested Flycatcher  GCFL  fo ur  NE SE
Brown-crested Flycatcher  BCFL  de fo  SW
Grenada Flycatcher  GFLY  no  NA
Rufous-tailed Flycatcher  RFTF  no  NA
La Sagra's Flycatcher  LSFL  fo  NA
Stolid Flycatcher  STOF  no  NA
Puerto Rican Flycatcher  PRFL  no  NA
Lesser Antillean Flycatcher  LAFL  no  NA
Flammulated Flycatcher  FLFL  no  NA
Lesser Kiskadee  LEKI  no  NA
Great Kiskadee  GKIS  fo gr fw ur  SW
Boat-billed Flycatcher  BOBF  no  NA
Rusty-margined Flycatcher  RMFL  no  NA
Social Flycatcher  SOFL  no  NA
Gray-capped Flycatcher  GCAF  no  NA
White-ringed Flycatcher  WRFL  no  NA
Golden-bellied Flycatcher  GBFL  no  NA
Golden-crowned Flycatcher  GOCF  no  NA
Streaked Flycatcher  STRF  no  NA
Sulphur-bellied Flycatcher  SBFL  fo mo  SW
Piratic Flycatcher  PIFL  fo  NA
Variegated Flycatcher  VAFL  fo  NA
Crowned Slaty Flycatcher  CSFL  no  NA
Tropical Kingbird  TRKI  fo fw  SW
Couch's Kingbird  COKI  fo sm  SW
Cassin's Kingbird  CAKI  fo gr  SW
Thick-billed Kingbird  TBKI  fo mo  SW
Western Kingbird  WEKI  gr ur  NW SW
Eastern Kingbird  EAKI  fo ur  NW NE SE
Gray Kingbird  GRAK  co ur  SE
Loggerhead Kingbird  LOKI  fo  NA
Giant Kingbird  GIKI  no  NA
Scissor-tailed Flycatcher  STFL  gr ur  SW SE
Fork-tailed Flycatcher  FTFL  gr  NA
Gray-headed Piprites  GHPI  no  NA
Northern Schiffornis  NOSC  no  NA
Russet-winged Schiffornis  RWSC  no  NA
Speckled Mourner  SPMO  no  NA
Masked Tityra  MATI  no  NA
Black-crowned Tityra  BCRT  no  NA
Barred Becard  BABE  no  NA
Cinereous Becard  CIRB  no  NA
Cinnamon Becard  CIMB  no  NA
White-winged Becard  WWBE  no  NA
Black-and-white Becard  BAWB  no  NA
Gray-collared Becard  GCBE  no  NA
Rose-throated Becard  RTBE  fo mo  NA
One-colored Becard  OCBE  no  NA
Jamaican Becard  JABE  no  NA
Purple-throated Fruitcrow  PTFR  no  NA
Bare-necked Umbrellabird  BNUM  no  NA
Lovely Cotinga  LOCO  no  NA
Turquoise Cotinga  TUCO  no  NA
Blue Cotinga  BLCO  no  NA
Rufous Piha  RUFP  no  NA
Three-wattled Bellbird  TWBE  no  NA
Black-tipped Cotinga  BTCO  no  NA
Yellow-billed Cotinga  YBCO  no  NA
Snowy Cotinga  SNCO  no  NA
Lance-tailed Manakin  LATM  no  NA
Long-tailed Manakin  LOTM  no  NA
White-ruffed Manakin  WRMA  no  NA
Green Manakin  GMAK  no  NA
Blue-crowned Manakin  BCRM  no  NA
White-collared Manakin  WCOM  no  NA
Orange-collared Manakin  OCMA  no  NA
Golden-collared Manakin  GCMA  no  NA
White-crowned Manakin  WCRM  no  NA
Red-capped Manakin  RCMA  no  NA
Golden-headed Manakin  GHMA  no  NA
Sharpbill  SHAR  no  NA
Brown Shrike  BROS  fo gr  NA
Loggerhead Shrike  LOSH  de fo gr  NW SW SE
Northern Shrike  NSHR  gr  NW NE
Slaty Vireo  SLVI  no  NA
White-eyed Vireo  WEVI  fo ur  NE SE
Thick-billed Vireo  TBVI  sm  NA
Mangrove Vireo  MAVI  no  NA
Cozumel Vireo  COVI  no  NA
San Andres Vireo  SAVI  no  NA
Jamaican Vireo  JAVI  no  NA
Cuban Vireo  CUVI  no  NA
Puerto Rican Vireo  PRVI  no  NA
Flat-billed Vireo  FBVI  no  NA
Bell's Vireo  BEVI  fo  NE SW SE
Black-capped Vireo  BCVI  gr sm  SW
Dwarf Vireo  DWVI  no  NA
Gray Vireo  GRVI  sm mo  SW
Blue Mountain Vireo  BMVI  no  NA
Yellow-throated Vireo  YTVI  fo sm ur  NE SE
Plumbeous Vireo  PLVI  fo  NW SW
Cassin's Vireo  CAVI  fo mo  NW SW
Blue-headed Vireo  BHVI  fo  NE SE
Yellow-winged Vireo  YWVI  no  NA
Hutton's Vireo  HUVI  fo  NW SW
Golden Vireo  GOVI  no  NA
Warbling Vireo  WAVI  fo  NW NE SW SE
Brown-capped Vireo  BCAV  no  NA
Philadelphia Vireo  PHVI  fo  NE SE
Red-eyed Vireo  REVI  fo ur  NW NE SE
Yellow-green Vireo  YGVI  fo sm  SW
Black-whiskered Vireo  BWVI  fo sm  SE
Yucatan Vireo  YUVI  no  NA
Scrub Greenlet  SCRG  no  NA
Tawny-crowned Greenlet  TCGR  no  NA
Golden-fronted Greenlet  GFGR  no  NA
Lesser Greenlet  LESG  no  NA
Chestnut-sided Shrike-Vireo  CSSV  no  NA
Green Shrike-Vireo  GRSV  no  NA
Yellow-browed Shrike-Vireo  YBSV  no  NA
Rufous-browed Peppershrike  RBPE  no  NA
Gray Jay  GRAJ  fo  NW NE
White-throated Jay  WTJA  no  NA
Dwarf Jay  DWJA  no  NA
Black-throated Jay  BTJA  no  NA
Silvery-throated Jay  STHJ  no  NA
Azure-hooded Jay  AHJA  no  NA
Black-throated Magpie-Jay  BTMJ  no  NA
White-throated Magpie-Jay  WTMJ  no  NA
Brown Jay  BRJA  co fo  NA
Tufted Jay  TUJA  no  NA
Black-chested Jay  BCHJ  no  NA
Green Jay  GREJ  fo mo  SW
Bushy-crested Jay  BCRJ  no  NA
San Blas Jay  SBJA  no  NA
Yucatan Jay  YUJA  no  NA
Purplish-backed Jay  PBJA  no  NA
Pinyon Jay  PIJA  fo  NW SW
Steller's Jay  STJA  fo  NW SW
Blue Jay  BLJA  fo gr ur  NW NE SE
Florida Scrub-Jay  FLSJ  gr sm  SE
Island Scrub-Jay  ISSJ  de gr  SW
Western Scrub-Jay  WESJ  fo ur  NW SW
Transvolcanic Jay  TRJA  no  NA
Mexican Jay  MEJA  fo  SW
Unicolored Jay  UNJA  no  NA
Clark's Nutcracker  CLNU  fo mo  NW SW
Black-billed Magpie  BBMA  fo gr  NW SW
Yellow-billed Magpie  YBMA  fo ur  SW
Eurasian Jackdaw  EUJA  mo ur  NA
American Crow  AMCR  co fo gr ur  NW NE SW SE
Northwestern Crow  NOCR  co fo gr ur  NW
Palm Crow  PACR  no  NA
Cuban Crow  CUCR  no  NA
White-necked Crow  WNCR  no  NA
Jamaican Crow  JACR  no  NA
Tamaulipas Crow  TACR  gr sm ur  NA
Sinaloa Crow  SICR  no  NA
Fish Crow  FICR  co fw ur  NE SE
Hawaiian Crow  HCRO  fo  NA
Chihuahuan Raven  CHRA  de gr  SW
Common Raven  CORA  co de fo mo  NW NE SW
Kauai Elepaio  KAEL  fo  NA
Oahu Elepaio  OAEL  fo  NA
Hawaii Elepaio  HAEL  fo  NA
Sky Lark  SKLA  gr  NA
Horned Lark  HOLA  gr ur  NW NE SW SE
Purple Martin  PUMA  fo gr ur  NW NE SW SE
Cuban Martin  CUMA  no  NA
Caribbean Martin  CAMA  no  NA
Sinaloa Martin  SIMA  no  NA
Gray-breasted Martin  GYBM  no  NA
Southern Martin  SOMA  no  NA
Brown-chested Martin  BCMA  gr  NA
Tree Swallow  TRES  gr fw sm  NW NE SW SE
Mangrove Swallow  MANS  no  NA
Golden Swallow  GOSW  no  NA
Violet-green Swallow  VGSW  fo mo  NW SW
Bahama Swallow  BAHS  fo gr ur  NA
Blue-and-white Swallow  BAWS  no  NA
Black-capped Swallow  BCSW  no  NA
White-thighed Swallow  WTGS  no  NA
Northern Rough-winged Swallow  NRWS  gr  NW NE SW SE
Southern Rough-winged Swallow  SRWS  no  NA
Bank Swallow  BANS  co fw  NW NE SW SE
Cliff Swallow  CLSW  gr fw sm ur  NW NE SW SE
Cave Swallow  CASW  gr  NE SW SE
Barn Swallow  BARS  gr fw sm ur  NW NE SW SE
Common House-Martin  COHM  fo fw mo ur  NA
Carolina Chickadee  CACH  fo ur  SE
Black-capped Chickadee  BCCH  fo gr ur  NW NE
Mountain Chickadee  MOCH  fo  NW SW
Mexican Chickadee  MECH  fo mo  NA
Chestnut-backed Chickadee  CBCH  fo  NW SW
Boreal Chickadee  BOCH  fo  NW NE
Gray-headed Chickadee  GHCH  fo  NA
Bridled Titmouse  BRTI  fo  SW
Oak Titmouse  OATI  fo  SW
Juniper Titmouse  JUTI  fo  SW
Tufted Titmouse  TUTI  fo ur  NE SE
Black-crested Titmouse  BCTI  fo ur  SW
Verdin  VERD  de  SW
Bushtit  BUSH  fo  NW SW
Red-breasted Nuthatch  RBNU  fo  NW NE SW SE
White-breasted Nuthatch  WBNU  fo  NW NE SW SE
Pygmy Nuthatch  PYNU  fo  NW SW
Brown-headed Nuthatch  BHNU  fo  SE
Brown Creeper  BRCR  fo  NW NE SW SE
Rock Wren  ROWR  mo ur  NW SW
Nightingale Wren  NIWR  no  NA
Scaly-breasted Wren  SCBW  no  NA
Canyon Wren  CANW  mo ur  NW SW
Sumichrast's Wren  SUWR  no  NA
Nava's Wren  NAWR  no  NA
Zapata Wren  ZAWR  no  NA
House Wren  HOWR  fo sm ur  NW NE SW SE
Socorro Wren  SOCW  no  NA
Clarion Wren  CLWR  no  NA
Rufous-browed Wren  RBWW  no  NA
Ochraceous Wren  OCWR  no  NA
Pacific Wren  PAWR  fo  NW SW
Winter Wren  WIWR  fo  NE SE
Timberline Wren  TIWR  no  NA
Sedge Wren  SEWR  gr sm  NE SE
Marsh Wren  MAWR  sm  NW NE SW SE
Carolina Wren  CARW  de fo mo ur  NW NE SW SE
Bewick's Wren  BEWR  fo gr  NW SW SE
White-headed Wren  WHWR  no  NA
Band-backed Wren  BABW  no  NA
Gray-barred Wren  GBWR  no  NA
Giant Wren  GIWR  no  NA
Bicolored Wren  BIWR  no  NA
Rufous-naped Wren  RNAW  no  NA
Spotted Wren  SPWR  no  NA
Boucard's Wren  BOWR  no  NA
Yucatan Wren  YUWR  no  NA
Cactus Wren  CACW  de sm ur  SW
Sooty-headed Wren  SHWR  no  NA
Black-throated Wren  BTWR  no  NA
Rufous-breasted Wren  RBSW  no  NA
Spot-breasted Wren  SBSW  no  NA
Happy Wren  HAWR  no  NA
Black-bellied Wren  BBEW  no  NA
Rufous-and-white Wren  RAWW  no  NA
Sinaloa Wren  SIWR  no  NA
Banded Wren  BANW  no  NA
Stripe-throated Wren  STWR  no  NA
Stripe-breasted Wren  SIBW  no  NA
Plain Wren  PLWR  no  NA
Bay Wren  BAYW  no  NA
Riverside Wren  RIWR  no  NA
Buff-breasted Wren  BBRW  no  NA
White-bellied Wren  WBWR  no  NA
White-breasted Wood-Wren  WBWW  no  NA
Gray-breasted Wood-Wren  GBWW  no  NA
Song Wren  SONW  no  NA
Tawny-faced Gnatwren  TFGN  no  NA
Long-billed Gnatwren  LBGN  no  NA
Blue-gray Gnatcatcher  BGGN  fo  NW NE SW SE
Cuban Gnatcatcher  CUGN  no  NA
California Gnatcatcher  CAGN  co de  SW
Black-tailed Gnatcatcher  BTGN  de  SW
Black-capped Gnatcatcher  BCGN  de  NA
White-lored Gnatcatcher  WLGN  no  NA
Tropical Gnatcatcher  TRGN  no  NA
Slate-throated Gnatcatcher  STGN  no  NA
American Dipper  AMDI  fw  NW SW
Red-vented Bulbul  RVBU  fo gr ur  NA
Red-whiskered Bulbul  RWBU  sm ur  NA
Golden-crowned Kinglet  GCKI  fo  NW NE SW SE
Ruby-crowned Kinglet  RCKI  fo  NW NE SW SE
Japanese Bush-Warbler  JABW  de fo  NA
Willow Warbler  WILW  no  NA
Common Chiffchaff  CCHI  no  NA
Wood Warbler  WOWA  no  NA
Dusky Warbler  DUWA  fo mo  NA
Pallas's Leaf Warbler  PLEW  no  NA
Yellow-browed Warbler  YBWA  no  NA
Arctic Warbler  ARWA  fo gr  NA
Kamchatka Leaf Warbler  KLWA  no  NA
Lesser Whitethroat  LEWH  no  NA
Wrentit  WREN  gr  NW SW
Japanese White-eye  JAWE  fo ur  NA
Greater Necklaced Laughingthrush  GNLA  fo  NA
Hwamei  HWAM  de fo  NA
Red-billed Leiothrix  RBLE  fo  NA
Millerbird  MILL  no  NA
Sedge Warbler  SEWA  no  NA
Black-capped Donacobius  BCDO  no  NA
Middendorff's Grasshopper-Warbler  MIGW  co fo sm  NA
Lanceolated Warbler  LANW  gr  NA
Gray-streaked Flycatcher  GSFL  fo gr  NA
Asian Brown Flycatcher  ABFL  fo  NA
Spotted Flycatcher  SPFL  no  NA
Dark-sided Flycatcher  DSFL  fo  NA
White-rumped Shama  WRSH  fo ur  NA
Rufous-tailed Robin  RTRO  no  NA
Siberian Rubythroat  SIRU  fo gr sm  NA
Bluethroat  BLUE  gr sm  NA
Siberian Blue Robin  SBRO  no  NA
Red-flanked Bluetail  RFBL  fo  NA
Narcissus Flycatcher  NAFL  fo sm  NA
Mugimaki Flycatcher  MUFL  no  NA
Taiga Flycatcher  TAFL  no  NA
Common Redstart  CRET  no  NA
Northern Wheatear  NOWH  gr mo  NE
Stonechat  STON  fo gr sm  NA
Eastern Bluebird  EABL  fo  NE SE
Western Bluebird  WEBL  fo  NW SW
Mountain Bluebird  MOBL  gr mo  NW SW
Townsend's Solitaire  TOSO  fo mo  NW SW
Brown-backed Solitaire  BBSO  no  NA
Cuban Solitaire  CUSO  no  NA
Rufous-throated Solitaire  RTSO  no  NA
Black-faced Solitaire  BFSO  no  NA
Varied Solitaire  VASO  no  NA
Slate-colored Solitaire  SCSO  no  NA
Kamao  KAMA  no  NA
Amaui  AMAU  no  NA
Olomao  OLOM  no  NA
Omao  OMAO  fo  NA
Puaiohi  PUAI  fo  NA
Black-billed Nightingale-Thrush  BBNT  no  NA
Orange-billed Nightingale-Thrush  OBNT  no  NA
Slaty-backed Nightingale-Thrush  SBNT  no  NA
Russet Nightingale-Thrush  RUNT  no  NA
Ruddy-capped Nightingale-Thrush  RCNT  no  NA
Black-headed Nightingale-Thrush  BHNT  no  NA
Spotted Nightingale-Thrush  SPNT  no  NA
Veery  VEER  fo  NW NE SE
Gray-cheeked Thrush  GCTH  fo sm mo  NE SE
Bicknell's Thrush  BITH  fo mo  NE
Swainson's Thrush  SWTH  fo sm  NW NE SW SE
Hermit Thrush  HETH  fo  NW NE SW SE
Wood Thrush  WOTH  fo ur  NE SE
Eurasian Blackbird  EUBL  no  NA
Eyebrowed Thrush  EYTH  fo  NA
Dusky Thrush  DUTH  fo gr ur  NA
Fieldfare  FIEL  fo ur  NA
Redwing  REDW  fo gr  NA
Song Thrush  SOTH  no  NA
Sooty Thrush  SOOT  no  NA
Black Thrush  BLTH  no  NA
Mountain Thrush  MOTH  no  NA
Cocoa Thrush  COCT  no  NA
Pale-vented Thrush  PVTH  no  NA
Clay-colored Thrush  CCTH  gr ur  NA
Spectacled Thrush  SPTH  no  NA
White-eyed Thrush  WETH  no  NA
White-throated Thrush  WTTH  fo  NA
Rufous-backed Robin  RBRO  fo ur  SW
Rufous-collared Robin  RCRO  no  NA
American Robin  AMRO  fo gr ur  NW NE SW SE
La Selle Thrush  LSTH  no  NA
White-chinned Thrush  WCTH  no  NA
Grand Cayman Thrush  GCAT  no  NA
Red-legged Thrush  RLTH  no  NA
Forest Thrush  FOTH  no  NA
Varied Thrush  VATH  fo fw  NW NE SW
Aztec Thrush  AZTH  fo  NA
Blue Mockingbird  BLMO  fo  NA
Blue-and-white Mockingbird  BAWM  no  NA
Black Catbird  BLCA  no  NA
Gray Catbird  GRCA  fo sm ur  NW NE SW SE
White-breasted Thrasher  WBTH  no  NA
Scaly-breasted Thrasher  SBTH  no  NA
Pearly-eyed Thrasher  PETH  no  NA
Brown Trembler  BRTR  no  NA
Gray Trembler  GRTR  no  NA
Curve-billed Thrasher  CBTH  de ur  SW
Ocellated Thrasher  OCTH  no  NA
Brown Thrasher  BRTH  fo ur  NE SE
Long-billed Thrasher  LBTH  fo gr  SW
Cozumel Thrasher  COZT  no  NA
Bendire's Thrasher  BETH  de gr ur  SW
Gray Thrasher  GRAT  no  NA
California Thrasher  CATH  de fo mo ur  SW
Le Conte's Thrasher  LCTH  de  SW
Crissal Thrasher  CRTH  de sm  SW
Sage Thrasher  SATH  mo  NW SW
Bahama Mockingbird  BAMO  fo  NA
Socorro Mockingbird  SOMO  no  NA
Tropical Mockingbird  TRMO  no  NA
Northern Mockingbird  NOMO  de gr ur  NW NE SW SE
European Starling  EUST  gr ur  NW NE SW SE
Common Myna  COMY  ur  SE
Hill Myna  HIMY  ur  SE
Siberian Accentor  SIAC  fo  NA
Eastern Yellow Wagtail  EYWA  gr fw ur  NA
Citrine Wagtail  CIWA  no  NA
Gray Wagtail  GRAW  fo fw mo  NA
White Wagtail  WHWA  co de gr fw  NA
Tree Pipit  TRPI  no  NA
Olive-backed Pipit  OBPI  co gr fw sm  NA
Pechora Pipit  PEPI  fo gr sm  NA
Red-throated Pipit  RTPI  gr fw  SW
American Pipit  AMPI  co gr mo  NW NE SW SE
Sprague's Pipit  SPPI  gr  NW SW
Yellowish Pipit  YEPI  no  NA
Bohemian Waxwing  BOWA  fo sm ur  NW NE
Cedar Waxwing  CEDW  fo ur  NW NE SW SE
Kauai Oo  KAOO  no  NA
Oahu Oo  OAOO  no  NA
Bishop's Oo  BIOO  no  NA
Hawaii Oo  HAOO  no  NA
Kioea  KIOE  no  NA
Black-and-yellow Silky-flycatcher  BAYS  no  NA
Gray Silky-flycatcher  GRSF  no  NA
Long-tailed Silky-flycatcher  LTSF  no  NA
Phainopepla  PHAI  co de fo  SW
Palmchat  PALM  no  NA
Olive Warbler  OLWA  fo mo  SW
Lapland Longspur  LALO  co gr  NW NE
Chestnut-collared Longspur  CCLO  gr  NW SW
Smith's Longspur  SMLO  fo gr  NE
McCown's Longspur  MCLO  gr  NW SW
Snow Bunting  SNBU  co sm mo  NW NE
McKay's Bunting  MKBU  co  NA
Ovenbird  OVEN  fo  NW NE SE
Worm-eating Warbler  WEWA  fo  NE SE
Louisiana Waterthrush  LOWA  fo sm mo  NE SE
Northern Waterthrush  NOWA  fo fw  NW NE SE
Bachman's Warbler  BAWA  fo  NA
Golden-winged Warbler  GWWA  gr  NE SE
Blue-winged Warbler  BWWA  fo gr fw  NE SE
Black-and-white Warbler  BAWW  fo gr ur  NW NE SW SE
Prothonotary Warbler  PROW  fo sm  NE SE
Swainson's Warbler  SWWA  co gr mo  SE
Crescent-chested Warbler  CCWA  mo  NA
Flame-throated Warbler  FTHW  no  NA
Tennessee Warbler  TEWA  fo  NE SE
Orange-crowned Warbler  OCWA  fo  NW NE SW SE
Colima Warbler  COLW  mo  NA
Lucy's Warbler  LUWA  de mo  SW
Nashville Warbler  NAWA  fo  NW NE SW SE
Virginia's Warbler  VIWA  fo  SW
Semper's Warbler  SEMW  no  NA
Connecticut Warbler  CONW  fo  NE SE
Gray-crowned Yellowthroat  GCYE  gr  NA
Masked Yellowthroat  MAYE  no  NA
MacGillivray's Warbler  MGWA  fo  NW SW
Mourning Warbler  MOWA  fo  NE SE
Kentucky Warbler  KEWA  fo  NE SE
Olive-crowned Yellowthroat  OCYE  no  NA
Black-polled Yellowthroat  BPYE  no  NA
Belding's Yellowthroat  BEYE  no  NA
Bahama Yellowthroat  BAYE  no  NA
Altamira Yellowthroat  ALYE  no  NA
Common Yellowthroat  COYE  gr sm  NW NE SW SE
Hooded Yellowthroat  HOYE  no  NA
Whistling Warbler  WHIW  no  NA
Plumbeous Warbler  PLUW  no  NA
Elfin-woods Warbler  EWWA  no  NA
Arrowhead Warbler  ARRW  no  NA
Hooded Warbler  HOWA  fo  NE SE
American Redstart  AMRE  fo  NW NE SW SE
Kirtland's Warbler  KIWA  fo  NE
Cape May Warbler  CMWA  fo ur  NE SE
Cerulean Warbler  CERW  fo fw  NE SE
Northern Parula  NOPA  fo fw  NE SE
Tropical Parula  TRPA  fo fw  NA
Magnolia Warbler  MAWA  fo  NE SE
Bay-breasted Warbler  BBWA  fo  NE SE
Blackburnian Warbler  BLBW  fo mo  NE SE
Yellow Warbler  YEWA  fo gr sm ur  NW NE SW SE
Chestnut-sided Warbler  CSWA  fo mo  NE SE
Blackpoll Warbler  BLPW  fo  NE SE
Black-throated Blue Warbler  BTBW  fo mo  NE SE
Palm Warbler  PAWA  fo gr sm  NE SE
Olive-capped Warbler  OCAW  no  NA
Pine Warbler  PIWA  fo  NE SE
Yellow-rumped Warbler  YRWA  fo  NW NE SW SE
Yellow-throated Warbler  YTWA  fo  NE SE
Bahama Warbler  BAHW  no  NA
Vitelline Warbler  VITW  no  NA
Prairie Warbler  PRAW  fo gr sm  NE SE
Adelaide's Warbler  ADWA  no  NA
Barbuda Warbler  BARW  no  NA
St. Lucia Warbler  SLWA  no  NA
Grace's Warbler  GRWA  fo  SW
Black-throated Gray Warbler  BTYW  fo  NW SW
Townsend's Warbler  TOWA  fo  NW SW
Hermit Warbler  HEWA  fo  NW SW
Golden-cheeked Warbler  GCWA  fo  SW
Black-throated Green Warbler  BTNW  fo mo  NE SE
Buff-rumped Warbler  BURW  no  NA
Fan-tailed Warbler  FTWA  fo mo  NA
Rufous-capped Warbler  RCWA  fo mo  NA
Black-cheeked Warbler  BCWA  no  NA
Pirre Warbler  PIRW  no  NA
Golden-browed Warbler  GBWA  no  NA
Golden-crowned Warbler  GCRW  fo  NA
Three-striped Warbler  TSWA  no  NA
Canada Warbler  CAWA  fo  NE SE
Wilson's Warbler  WIWA  fo  NW NE SW SE
Red-faced Warbler  RFWA  fo  SW
Red Warbler  REWA  no  NA
Pink-headed Warbler  PHWA  no  NA
Painted Redstart  PARE  fo mo  SW
Slate-throated Redstart  STRE  fo  NA
Collared Redstart  COLR  no  NA
Wrenthrush  WRET  no  NA
Yellow-breasted Chat  YBCH  gr sm  NW NE SW SE
White-winged Warbler  WWWA  no  NA
Green-tailed Warbler  GTWA  no  NA
Yellow-headed Warbler  YHWA  no  NA
Oriente Warbler  ORWA  no  NA
Blue-and-gold Tanager  BAGT  no  NA
Red-crested Cardinal  RCCA  fo gr ur  NA
Yellow-billed Cardinal  YBCA  fo fw sm  NA
Blue-gray Tanager  BGTA  no  NA
Yellow-winged Tanager  YWTA  no  NA
Palm Tanager  PALT  no  NA
Gray-and-gold Tanager  GAGT  no  NA
Azure-rumped Tanager  ARTA  no  NA
Lesser Antillean Tanager  LATA  no  NA
Golden-hooded Tanager  GHOT  no  NA
Speckled Tanager  SPTA  no  NA
Green-naped Tanager  GNTA  no  NA
Spangle-cheeked Tanager  SCHT  no  NA
Plain-colored Tanager  PCTA  no  NA
Rufous-winged Tanager  RWTA  no  NA
Bay-headed Tanager  BHTA  no  NA
Emerald Tanager  EMTA  no  NA
Silver-throated Tanager  STTA  no  NA
White-eared Conebill  WECO  no  NA
Saffron Finch  SAFI  fo gr  NA
Grassland Yellow-Finch  GRYF  no  NA
Slaty Finch  SLFI  no  NA
Peg-billed Finch  PBFI  no  NA
Cinnamon-bellied Flowerpiercer  CBFL  no  NA
Slaty Flowerpiercer  SLFL  no  NA
Green Honeycreeper  GRHO  no  NA
Black-and-yellow Tanager  BAYT  no  NA
Sulphur-rumped Tanager  SRTA  no  NA
Scarlet-browed Tanager  SBTA  no  NA
Yellow-backed Tanager  YBTA  no  NA
Blue-black Grassquit  BGRA  no  NA
Gray-headed Tanager  GHET  no  NA
White-shouldered Tanager  WSTA  no  NA
Tawny-crested Tanager  TCTA  no  NA
White-lined Tanager  WLTA  no  NA
Black-throated Shrike-Tanager  BTST  no  NA
White-throated Shrike-Tanager  WTST  no  NA
Crimson-collared Tanager  CCTA  no  NA
Flame-rumped Tanager  FRTA  no  NA
Passerini's Tanager  PAST  no  NA
Cherrie's Tanager  CHET  no  NA
Crimson-backed Tanager  CBTA  no  NA
Swallow Tanager  SWTA  no  NA
Shining Honeycreeper  SHHO  no  NA
Purple Honeycreeper  PUHO  no  NA
Red-legged Honeycreeper  RLHO  no  NA
Scarlet-thighed Dacnis  STDA  no  NA
Blue Dacnis  BLDA  no  NA
Viridian Dacnis  VIDA  no  NA
Bananaquit  BANA  fo ur  NA
Cuban Grassquit  CUGR  no  NA
Yellow-faced Grassquit  YFGR  gr  NA
Black-faced Grassquit  BFGR  gr  NA
Orangequit  ORAN  no  NA
Puerto Rican Bullfinch  PRBU  no  NA
Greater Antillean Bullfinch  GABU  no  NA
Lesser Antillean Bullfinch  LANB  no  NA
Barbados Bullfinch  BABU  no  NA
Cuban Bullfinch  CUBU  no  NA
Yellow-shouldered Grassquit  YSGR  no  NA
St. Lucia Black Finch  SLBF  no  NA
Cocos Finch  COFI  no  NA
Lined Seedeater  LISE  no  NA
Thick-billed Seed-Finch  TBSF  no  NA
Large-billed Seed-Finch  LBSF  no  NA
Nicaraguan Seed-Finch  NISF  no  NA
Variable Seedeater  VASE  no  NA
Slate-colored Seedeater  SCSE  no  NA
White-collared Seedeater  WCSE  gr sm  NA
Yellow-bellied Seedeater  YBSE  no  NA
Ruddy-breasted Seedeater  RBSE  no  NA
Wedge-tailed Grass-Finch  WTGF  no  NA
Black-headed Saltator  BHSA  no  NA
Buff-throated Saltator  BTSA  no  NA
Slate-colored Grosbeak  SCOG  no  NA
Lesser Antillean Saltator  LASA  no  NA
Grayish Saltator  GRAS  no  NA
Streaked Saltator  SSAL  no  NA
Puerto Rican Tanager  PRTA  no  NA
Black-crowned Palm-Tanager  BPLT  no  NA
Gray-crowned Palm-Tanager  GCPT  no  NA
Western Chat-Tanager  WECT  no  NA
Eastern Chat-Tanager  EACT  no  NA
Rosy Thrush-Tanager  ROTT  no  NA
Dusky-faced Tanager  DFTA  no  NA
Western Spindalis  WESP  fo  NA
Jamaican Spindalis  JAMS  no  NA
Hispaniolan Spindalis  HISP  no  NA
Puerto Rican Spindalis  PRSP  no  NA
Yellow-thighed Finch  YTFI  no  NA
Yellow-green Finch  YGFI  no  NA
Large-footed Finch  LFFI  no  NA
Orange-billed Sparrow  OBSP  no  NA
Sooty-faced Finch  SFFI  no  NA
Chestnut-capped Brush-Finch  CCBF  no  NA
Green-striped Brush-Finch  GSBF  no  NA
Costa Rican Brush-Finch  CRBF  no  NA
Black-headed Brush-Finch  BHBF  no  NA
Olive Sparrow  OLSP  fo  SW
Green-backed Sparrow  GBSP  no  NA
Black-striped Sparrow  BSTS  no  NA
White-naped Brush-Finch  WNBF  no  NA
Rufous-capped Brush-Finch  RCBF  no  NA
Collared Towhee  COTO  no  NA
Green-tailed Towhee  GTTO  mo  NW SW
Spotted Towhee  SPTO  fo ur  NW SW
Eastern Towhee  EATO  fo  NE SE
Rusty Sparrow  RUSP  no  NA
