# key:
# co = coast
# de = desert
# fo = forest
# gr = grassland
# fw = freshwater
# sm = swamp, marsh
# mo = mountain
# oc = ocean
# ur = urban
#
# SW = Southwest 
# SE = Southeast
# NW = Northeast
# SW = Southwest
# NA = Not Available
#
# Name       Alpha code     Habitats     Regions
Semipalmated Sandpiper  SESA  co gr  NW NE SW SE
Western Sandpiper  WESA  co gr fw  NW NE SW SE
Short-billed Dowitcher  SBDO  gr sm  NW NE SW SE
Long-billed Dowitcher  LBDO  gr sm  NW NE SW SE
Jack Snipe  JASN  fo gr sm  NA
Wilson's Snipe  WISN  gr fw sm  NW NE SW SE
Common Snipe  COSN  co fo gr fw sm  NA
Pin-tailed Snipe  PTSN  co gr sm  NA
Solitary Snipe  SOSN  no  NA
Eurasian Woodcock  EUWO  no  NA
American Woodcock  AMWO  fo gr  NE SE
Wilson's Phalarope  WIPH  gr fw sm  NW NE SW SE
Red-necked Phalarope  RNPH  co fw oc  NW NE SW SE
Red Phalarope  REPH  co fw oc  NW NE SW SE
Collared Pratincole  COPR  no  NA
Oriental Pratincole  ORPR  co gr sm  NA
Great Skua  GRSK  oc  NE
South Polar Skua  SPSK  oc  NW NE SW
Pomarine Jaeger  POJA  fo gr oc  NW NE SW SE
Parasitic Jaeger  PAJA  gr oc  NW NE SW SE
Long-tailed Jaeger  LTJA  gr oc  NW NE SW
Dovekie  DOVE  co mo  NE
Common Murre  COMU  co  NW NE SW
Thick-billed Murre  TBMU  co  NE
Razorbill  RAZO  co  NE
Great Auk  GRAU  no  NA
Black Guillemot  BLGU  co mo  NE
Pigeon Guillemot  PIGU  co  NW SW
Long-billed Murrelet  LBMU  oc fw  NA
Marbled Murrelet  MAMU  co oc  NW
Kittlitz's Murrelet  KIMU  co mo  NA
Scripps's Murrelet  SCMU  oc  NA
Guadalupe Murrelet  GAMU  oc  NA
Craveri's Murrelet  CRMU  co oc  NA
Ancient Murrelet  ANMU  co oc  NW SW
Cassin's Auklet  CAAU  co oc  NW SW
Parakeet Auklet  PAAU  co oc  NW
Least Auklet  LEAU  co oc  NA
Whiskered Auklet  WHAU  co  NA
Crested Auklet  CRAU  co oc  NA
Rhinoceros Auklet  RHAU  gr  NW SW
Atlantic Puffin  ATPU  co  NE
Horned Puffin  HOPU  co oc  NW
Tufted Puffin  TUPU  co  NW SW
Swallow-tailed Gull  STGU  no  NA
Black-legged Kittiwake  BLKI  co oc ur  NW NE SW SE
Red-legged Kittiwake  RLKI  co oc  NA
Ivory Gull  IVGU  co oc  NE
Sabine's Gull  SAGU  co gr  NW NE SW
Bonaparte's Gull  BOGU  co fw sm  NW NE SW SE
Gray-hooded Gull  GHGU  no  NA
Black-headed Gull  BHGU  co gr fw sm  NE
Little Gull  LIGU  co fw  NE
Ross's Gull  ROGU  co oc  NA
Gray Gull  GRGU  no  NA
Laughing Gull  LAGU  co sm  NE SW SE
Franklin's Gull  FRGU  co fw sm  NW NE SW SE
Belcher's Gull  BEGU  co oc  NA
Black-tailed Gull  BTGU  co  NA
Heermann's Gull  HEEG  co  NW SW
Mew Gull  MEGU  co gr fw sm  NW SW
Ring-billed Gull  RBGU  co fw  NW NE SW SE
Western Gull  WEGU  co oc  NW SW
Yellow-footed Gull  YFGU  co oc  NA
California Gull  CAGU  co fw sm  NW SW
Herring Gull  HERG  co fw  NW NE SW SE
Yellow-legged Gull  YLGU  co oc  NA
Thayer's Gull  THGU  co gr mo  NW NE SW
Iceland Gull  ICGU  co  NE
Lesser Black-backed Gull  LBBG  co fw ur  NE SE
Slaty-backed Gull  SBGU  co oc  NA
Glaucous-winged Gull  GWGU  co  NW SW
Glaucous Gull  GLGU  co fw  NE
Great Black-backed Gull  GBBG  co fw  NE SE
Kelp Gull  KEGU  co fw oc  NA
Brown Noddy  BRNO  co oc  SE
Black Noddy  BLNO  co oc  NA
Blue-gray Noddy  BGNO  oc  NA
White Tern  WHTT  co fo oc  NA
Sooty Tern  SOTE  co oc  SE
Gray-backed Tern  GBAT  co oc  NA
Bridled Tern  BRTE  co oc  NE SE
Aleutian Tern  ALTE  co  NA
Little Tern  LITE  co gr sm  NA
Least Tern  LETE  co  NE SW SE
Yellow-billed Tern  YBTE  no  NA
Large-billed Tern  LBTE  co fw  NA
Gull-billed Tern  GBTE  co gr  SE
Caspian Tern  CATE  co  NW NE SW SE
Inca Tern  INTE  no  NA
Black Tern  BLTE  co gr fw sm  NW NE SW SE
White-winged Tern  WWTE  co gr fw sm  NA
Whiskered Tern  WHST  co fw sm  NA
Roseate Tern  ROST  co oc  NE SE
Common Tern  COTE  co gr  NW NE SW SE
Arctic Tern  ARTE  co gr  NW NE SW
Forster's Tern  FOTE  co sm  NW NE SW SE
Royal Tern  ROYT  co  SW SE
Great Crested Tern  GCTE  no  NA
Sandwich Tern  SATE  co  NE SE
Elegant Tern  ELTE  co  NW SW
Black Skimmer  BLSK  co fw sm  NE SW SE
Chestnut-bellied Sandgrouse  CBSA  de  NA
Rock Pigeon  ROPI  gr mo ur  NW NE SW SE
Pale-vented Pigeon  PVPI  no  NA
Scaled Pigeon  SCPI  no  NA
Scaly-naped Pigeon  SNPI  no  NA
White-crowned Pigeon  WCPI  co fo sm  SE
Red-billed Pigeon  RBPI  fo  NA
Plain Pigeon  PLAP  no  NA
Band-tailed Pigeon  BTPI  co fo  NW SW
Ring-tailed Pigeon  RTAP  no  NA
Plumbeous Pigeon  PLUP  no  NA
Ruddy Pigeon  RUDP  no  NA
Short-billed Pigeon  SBPI  no  NA
Dusky Pigeon  DUPI  no  NA
Oriental Turtle-Dove  ORTD  fo  NA
African Collared-Dove  AFCD  no  NA
European Turtle-Dove  EUTD  no  NA
Eurasian Collared-Dove  EUCD  sm ur  NW NE SW SE
Spotted Dove  SPDO  fo ur  NA
Zebra Dove  ZEBD  fo gr ur  NA
Passenger Pigeon  PAPI  no  NA
Inca Dove  INDO  gr sm ur  SW SE
Common Ground-Dove  COGD  gr ur  SW SE
Plain-breasted Ground-Dove  PBGD  no  NA
Ruddy Ground-Dove  RUGD  fo gr sm  SW
Blue Ground-Dove  BLGD  no  NA
Maroon-chested Ground-Dove  MCGD  no  NA
Blue-headed Quail-Dove  BHQD  no  NA
Crested Quail-Dove  CRQD  no  NA
Ruddy Quail-Dove  RUQD  fo sm  NA
Violaceous Quail-Dove  VIQD  no  NA
